Meno,Link,Licencia
Zimny turnaj MERCURY 3+4 2024 ,https://chess-results.com/tnr889551.aspx,"Creator: Slovak Chess Federation license 4,Last Upload: Slovak Chess Federation license 51"
Zimny turnaj MERCURY 1+2 2024 ,https://chess-results.com/tnr889527.aspx,"Creator: Slovak Chess Federation license 4,Last Upload: Slovak Chess Federation license 51"
Majstrovstvá SR družstiev žiakov ZŠ ,https://chess-results.com/tnr882187.aspx,Creator/Last Upload: Slovak Chess Federation
Majstrovstvá SR družstiev žiakov ZŠ ,https://chess-results.com/tnr882186.aspx,Creator/Last Upload: Slovak Chess Federation
Majstrovstvá SR družstiev študentov v ,https://chess-results.com/tnr882185.aspx,Creator/Last Upload: Slovak Chess Federation
Žiacka šachová liga Vranova 2023-2024 3. ,https://chess-results.com/tnr890183.aspx,Creator/Last Upload: Slovak Chess Federation license 9
Majstrovstva MC Petrzalka 2023/2024 ,https://chess-results.com/tnr890192.aspx,Creator/Last Upload: Slovak Chess Federation license 4
ZOBOR CUP 2023/24 -  5. turnaj  ,https://chess-results.com/tnr885365.aspx,Creator/Last Upload: Slovak Chess Federation license 5
"ZOBOR CUP 2023/24  -  ""B"" - 5. turnaj  ",https://chess-results.com/tnr885372.aspx,Creator/Last Upload: Slovak Chess Federation license 5
Turnaj 3 klubov 2024 ,https://chess-results.com/tnr893274.aspx,Creator/Last Upload: Slovak Chess Federation license 2
Network Cafe Bardejov - GPX mládeže - 10.2.202,https://chess-results.com/tnr890106.aspx,Creator/Last Upload: Slovak Chess Federation
Tomášovská liga mládeže 2023/24 - 5. turn,https://chess-results.com/tnr888757.aspx,Creator/Last Upload: Slovak Chess Federation license 5
Tomášovce open 2023/24 - 5. turnaj ,https://chess-results.com/tnr888758.aspx,Creator/Last Upload: Slovak Chess Federation license 5
SVK_4.liga B22 2023/2024 Nadstavba,https://chess-results.com/tnr885275.aspx,Creator/Last Upload: Slovak Chess Federation license 3
4. kolo školskej šachovej ligy v rapid &#,https://chess-results.com/tnr891745.aspx,Creator/Last Upload: Slovak Chess Federation license 7
5.turnaj začiatočníkov-12.ročník - R,https://chess-results.com/tnr879380.aspx,Creator/Last Upload: Slovak Chess Federation license 4
1st ESET Chess Tournament ,https://chess-results.com/tnr865370.aspx,Creator/Last Upload: Slovak Chess Federation license 4
Valentínsky turnaj 2024 (Oravská Polhora) ,https://chess-results.com/tnr895548.aspx,Creator/Last Upload: Slovak Chess Federation license 4
Majstrovstva MC Petrzalka 2023/2024 ,https://chess-results.com/tnr891112.aspx,Creator/Last Upload: Slovak Chess Federation license 4
Gymnaziálny šachový turnaj 2024 Považská ,https://chess-results.com/tnr892190.aspx,Creator/Last Upload: Slovak Chess Federation
